Ano;Semestre;Concelho;Pedidos de Ligação à Rede Executados (#);CodConcelho
2021;1;Vila Flor;1.0;0410
2021;1;São João da Madeira;1.0;0116
2021;1;Maia;1.0;1306
2021;1;Barcelos;2.0;0302
2021;1;Porto;9.0;1312
2021;1;Santa Maria da Feira;1.0;0109
2021;1;Santarém;2.0;1416
2021;1;Mafra;1.0;1109
2021;1;Loulé;4.0;0808
2021;1;Montijo;1.0;1507
2021;1;Guimarães;2.0;0308
2021;1;Coimbra;1.0;0603
2021;1;Barreiro;1.0;1504
2021;1;Nelas;1.0;1809
2021;1;Castelo Branco;1.0;0502
2021;1;Grândola;1.0;1505
2021;1;Cascais;1.0;1105
2021;1;Arraiolos;1.0;0702
2021;1;Seixal;1.0;1510
2021;1;Odivelas;2.0;1116
2021;1;Oleiros;1.0;0506
2021;1;Gondomar;1.0;1304
2021;1;Vila Nova da Barquinha;1.0;1420
2021;1;Vagos;1.0;0118
2021;1;Viana do Alentejo;1.0;0713
2021;1;Oliveira do Hospital;1.0;0611
2021;2;Cantanhede;2.0;0602
2021;2;Paços de Ferreira;1.0;1309
2021;2;Viseu;1.0;1823
2021;2;Arcos de Valdevez;1.0;1601
2021;2;Belmonte;1.0;0501
2021;2;Setúbal;1.0;1512
2021;2;Viana do Castelo;2.0;1609
2021;2;Oliveira de Frades;1.0;1810
2021;2;Vila Franca de Xira;1.0;1114
2021;2;Braga;1.0;0303
2021;2;Trofa;1.0;1318
2021;2;Arouca;2.0;0104
2021;2;Vila Nova de Famalicão;1.0;0312
2021;2;Loulé;5.0;0808
2021;2;Sertã;1.0;0509
2021;2;Alcobaça;1.0;1001
2021;2;Barreiro;1.0;1504
2021;2;Mondim de Basto;1.0;1705
2021;2;Albufeira;2.0;0801
2022;1;Vila Nova de Gaia;2.0;1317
2022;1;Vila Nova de Foz Côa;2.0;0914
2022;1;Sousel;1.0;1215
2022;1;Loures;2.0;1107
2022;1;Leiria;2.0;1009
2022;1;Celorico da Beira;1.0;0903
2022;1;Gondomar;1.0;1304
2022;1;Oeiras;3.0;1110
2022;1;Sines;1.0;1513
2022;1;Ourique;1.0;0212
2022;1;Santarém;1.0;1416
2022;1;Braga;1.0;0303
2022;1;Porto;4.0;1312
2022;1;Vila Pouca de Aguiar;1.0;1713
2022;1;Vila Verde;1.0;0313
2022;1;Póvoa de Varzim;1.0;1313
2022;1;Tavira;1.0;0814
2022;1;Santo Tirso;2.0;1314
2022;1;Évora;1.0;0705
2022;1;Portalegre;1.0;1214
2022;2;Santo Tirso;1.0;1314
2022;2;Vila Nova de Paiva;1.0;1822
2022;2;Nisa;1.0;1212
2022;2;Guarda;1.0;0907
2022;2;Vila Nova de Gaia;1.0;1317
2022;2;Maia;1.0;1306
2022;2;Sesimbra;1.0;1511
2022;2;Lisboa;3.0;1106
2022;2;Penafiel;1.0;1311
2022;2;Marco de Canaveses;1.0;1307
2022;2;Óbidos;1.0;1012
2022;2;Felgueiras;2.0;1303
2022;2;Esposende;1.0;0306
2022;2;Entroncamento;1.0;1410
2022;2;Vila Real;1.0;1714
2022;2;Silves;5.0;0813
2023;1;Arruda dos Vinhos;1.0;1102
2023;1;Viseu;2.0;1823
2023;1;Paços de Ferreira;1.0;1309
2023;1;Vendas Novas;1.0;0712
2023;1;Tábua;1.0;0616
2023;1;Penalva do Castelo;1.0;1811
2023;1;Vila Flor;1.0;0410
2023;1;Pampilhosa da Serra;1.0;0612
2023;1;Bragança;1.0;0402
2023;1;Maia;2.0;1306
2023;1;Celorico da Beira;1.0;0903
2023;1;Porto;1.0;1312
2023;1;Albufeira;4.0;0801
2023;1;Entroncamento;1.0;1410
2023;1;Portimão;2.0;0811
2023;1;Porto de Mós;1.0;1016
2023;1;Caminha;1.0;1602
2023;1;Estarreja;1.0;0108
2023;1;Vale de Cambra;1.0;0119
2023;1;Marco de Canaveses;1.0;1307
2023;1;Ponte de Lima;1.0;1607
2023;1;Alcochete;1.0;1502
2023;1;Guimarães;14.0;0308
2023;2;Arruda dos Vinhos;2.0;1102
2023;2;Vendas Novas;1.0;0712
2023;2;Óbidos;1.0;1012
2023;2;Mafra;1.0;1109
2023;2;Setúbal;3.0;1512
2023;2;Vieira do Minho;1.0;0311
2023;2;Vila Franca de Xira;3.0;1114
2023;2;Carregal do Sal;1.0;1802
2023;2;Santo Tirso;1.0;1314
2023;2;Almada;2.0;1503
2023;2;Santa Maria da Feira;7.0;0109
2023;2;Caminha;2.0;1602
2023;2;Moita;1.0;1506
2023;2;Albufeira;2.0;0801
2023;2;Viana do Castelo;1.0;1609
2023;2;Vila Nova de Famalicão;1.0;0312
2023;2;Lisboa;5.0;1106
2024;1;Mangualde;3.0;1806
2024;1;Grândola;1.0;1505
2024;1;Maia;6.0;1306
2024;1;Tomar;2.0;1418
2024;1;Alfândega da Fé;1.0;0401
2024;1;Vinhais;1.0;0412
2024;1;Arruda dos Vinhos;2.0;1102
2024;1;Porto;2.0;1312
2024;1;Condeixa-a-Nova;1.0;0604
2024;1;Bragança;1.0;0402
2024;1;Almada;1.0;1503
2024;1;Vouzela;1.0;1824
2024;1;Bombarral;2.0;1005
2024;1;Felgueiras;2.0;1303
2024;1;Rio Maior;2.0;1414
2024;1;Sever do Vouga;1.0;0117
2024;1;Peniche;2.0;1014
2024;1;Leiria;4.0;1009
2024;1;Beja;18.0;0205
2024;1;Albergaria-a-Velha;9.0;0102
2024;1;Castro daire;2.0;1803
2024;1;Ferreira do Zêzere;1.0;1411
2024;1;Chaves;1.0;1703
2024;1;Portimão;1.0;0811
2024;1;Idanha-a-Nova;1.0;0505
2024;1;Esposende;6.0;0306
2024;1;Caminha;2.0;1602
2024;2;Barcelos;6.0;0302
2024;2;Terras de Bouro;1.0;0310
2024;2;Bombarral;1.0;1005
2024;2;Cabeceiras de Basto;1.0;0304
2024;2;Ovar;1.0;0115
2024;2;Palmela;2.0;1508
2024;2;Montemor-o-Velho;3.0;0610
2024;2;Cantanhede;2.0;0602
2024;2;Viseu;3.0;1823
2024;2;Lagos;1.0;0807
2024;2;Alenquer;4.0;1101
2024;2;Alijó;1.0;1701
2024;2;Vila Verde;1.0;0313
2024;2;Lisboa;9.0;1106
2024;2;Maia;2.0;1306
2024;2;Torres Vedras;1.0;1113
2024;2;Amarante;1.0;1301
2024;2;Gondomar;2.0;1304
2024;2;Alandroal;1.0;0701
2024;2;Anadia;5.0;0103
